1	System	Date
2	Dungeons & Dragons	1974.0
3	Rules to the Game of DUNGEON	1974.0
4	Empire of the Petal Throne	1975.0
5	En Garde!	1975.0			1979.0	Boot Hill 2nd Edition	Tunnels & Trolls 5th Edition
6	Bunnies & Burrows	1976.0			1981.0	Dungeons & Dragons Basic Set (Moldvay)
7	Metamorphosis Alpha	1976.0			1983.0	Dungeons & Dragons Basic Set (Mentzer)
8	Monsters! Monsters!	1976.0			1989.0	Advanced Dungeons & Dragons 2nd Edition
9	Starfaring	1976.0			1990.0	Boot Hill 3rd Edition
10	Dungeons & Dragons Basic Set (Holmes)	1977.0			1991.0	Rules Cyclopedia
11	Advanced Dungeons & Dragons	1977.0			2000.0	Dungeons & Dragons 3rd Edition
12	Tunnels & Trolls 4th Edition	1977.0			2003.0	Dungeons & Dragons 3.5
13	Chivalry & Sorcery (Red Book)	1977.0			2005.0	Tékumel: Empire of the Petal Throne	Tunnels & Trolls 7.5th Edition
14					2008.0	Dungeons & Dragons 4th Edition
15					2014.0	Dungeons & Dragons 5th Edition
16					2015.0	Deluxe Tunnels & Trolls
17	2016.0					Chivalry & Sorcery (Minotaur)
18	2024.0					Dungeons & Dragons 5th Edition (Revised)
