1	✔	RPGGeek (Weird and Surreal)																							
2	1	Don't Rest Your Head
3	1	Lacuna Part I.
4	1	Lamentations of the Flame Princess
5	0	Paranoia (1e)
6	0	Shadows Over Filmland 
8	✔	General (Weird)																							
9	0	HoL
10	1	SPULTURATORAH
11	1	Jonathan Frakes Wants Your Attention, And You Must Not Give It To Him
12	0	Spawn of Fashawn
13	0	Creeks and Crawdads
15	✔	RPGGeek (Greatest)																							
16	0	The Great Pendragon Campaign 
17	0	Delta Green
18	0	Masks of Nyarlathotep
19	1	Call of Cthulhu (6e)
20	0	Countdown 
22	✔	RPGGeek (Trending)																							
23	1	Alice is Missing 
24	0	Icarus
25	0	The One Ring 
26	0	HeartQuest
27	0	Weird Discoveries
29	✔	History																							
30	0	Empire of the Petal Throne
31	0	En Garde!
32	1	Bunnies & Burrows
33	1	Tunnels & Trolls
34	0	Metamorphosis Alpha
36	✔	RPGGeek (RPGs)																							
37	0	Pendragon
38	1	Blades in the Dark
39	0	Apocalypse World
40	0	Delta Green
41	0	Legend of the 5 Rings (4e)
43	✔	DriveThru (Adamantine)																							
44	0	Daggerheart
45	0	Fabula Ultima: Natural Fantasy
46	0	Cyberpunk RED
47	0	Cyberpunk: Edgerunners
48	0	Fabula Ultima 
50	✔	Itch (Top Rated)																							
51	0	Lancer
52	0	Wanderhome
53	0	Armour Astir: Advent
54	0	Thousand Year Old Vampire
55	0	FIST
57	✔	Itch (Top Sellers)																							
58	0	CAIN
59	0	Lancer
60	0	INFINITE REVOLUTION OVERDRIVE
61	0	Last Tea Shop
62	0	VOID 1680 AM
64	✔	Itch (Popular)																							
65	0	Lancer
66	0	CAIN
67	0	Deus Ex Mecha
68	1	Koriko: A Magical Year
69	0	INFINITE REVOLUTION OVERDRIVE
71	✔	Itch (Library)																							
72	0	FIST
73	1	Brave Zenith																							
74	0	Fight Item Run
75	0	Karanduun
76	0	Breakfast Cult
78	✔	DriveThru (Library)																							
79	0	Cloud Empress
80	0	Woodlands & Waterfalls
81	0	The Two Headed Serpent
82	1	Crapland
83	0	Brindlewood Bay
